from_code,from_name,to_code,to_name,distance_km
555703,Mingəçevir,547508,Yalama (eksport),483.0
555703,Mingəçevir,554503,Astara (eksport),389.0
555703,Mingəçevir,558701,Böyük Kəsik (eksport),197.0
555703,Mingəçevir,550108,Culfa (eksport),555.0
555703,Mingəçevir,553002,Ələt eksport-Kurik,232.0
555703,Mingəçevir,548803,Ələt eksport-Türk.,232.0
555703,Mingəçevir,549204,Ələt eksport-Aktau,232.0
555807,Mingəçevir şəhər,547508,Yalama (eksport),501.0
555807,Mingəçevir şəhər,554503,Astara (eksport),407.0
555807,Mingəçevir şəhər,558701,Böyük Kəsik (eksport),215.0
555807,Mingəçevir şəhər,550108,Culfa (eksport),573.0
555807,Mingəçevir şəhər,553002,Ələt eksport-Kurik,250.0
555807,Mingəçevir şəhər,548803,Ələt eksport-Türk.,250.0
555807,Mingəçevir şəhər,549204,Ələt eksport-Aktau,250.0
554306,Muğan,547508,Yalama (eksport),316.0
554306,Muğan,554503,Astara (eksport),222.0
554306,Muğan,558701,Böyük Kəsik (eksport),364.0
554306,Muğan,550108,Culfa (eksport),388.0
554306,Muğan,553002,Ələt eksport-Kurik,65.0
554306,Muğan,548803,Ələt eksport-Türk.,65.0
554306,Muğan,549204,Ələt eksport-Aktau,65.0
552601,Mürsəlli,547508,Yalama (eksport),335.0
552601,Mürsəlli,554503,Astara (eksport),197.0
552601,Mürsəlli,558701,Böyük Kəsik (eksport),417.0
552601,Mürsəlli,550108,Culfa (eksport),335.0
552601,Mürsəlli,553002,Ələt eksport-Kurik,84.0
552601,Mürsəlli,548803,Ələt eksport-Türk.,84.0
552601,Mürsəlli,549204,Ələt eksport-Aktau,84.0
554700,Müsüslü,547508,Yalama (eksport),400.0
554700,Müsüslü,554503,Astara (eksport),306.0
554700,Müsüslü,558701,Böyük Kəsik (eksport),280.0
554700,Müsüslü,550108,Culfa (eksport),472.0
554700,Müsüslü,553002,Ələt eksport-Kurik,149.0
554700,Müsüslü,548803,Ələt eksport-Türk.,149.0
554700,Müsüslü,549204,Ələt eksport-Aktau,149.0
550803,Naxçıvan,547508,Yalama (eksport),715.0
550803,Naxçıvan,554503,Astara (eksport),577.0
550803,Naxçıvan,558701,Böyük Kəsik (eksport),797.0
550803,Naxçıvan,550108,Culfa (eksport),45.0
550803,Naxçıvan,553002,Ələt eksport-Kurik,464.0
550803,Naxçıvan,548803,Ələt eksport-Türk.,464.0
550803,Naxçıvan,549204,Ələt eksport-Aktau,464.0
553207,Neftçala,547508,Yalama (eksport),403.0
553207,Neftçala,554503,Astara (eksport),171.0
553207,Neftçala,558701,Böyük Kəsik (eksport),485.0
553207,Neftçala,550108,Culfa (eksport),431.0
553207,Neftçala,553002,Ələt eksport-Kurik,152.0
553207,Neftçala,548803,Ələt eksport-Türk.,152.0
553207,Neftçala,549204,Ələt eksport-Aktau,152.0
549007,Nəvahi,547508,Yalama (eksport),286.0
549007,Nəvahi,554503,Astara (eksport),228.0
549007,Nəvahi,558701,Böyük Kəsik (eksport),394.0
549007,Nəvahi,550108,Culfa (eksport),394.0
549007,Nəvahi,553002,Ələt eksport-Kurik,35.0
549007,Nəvahi,548803,Ələt eksport-Türk.,35.0
549007,Nəvahi,549204,Ələt eksport-Aktau,35.0
